Departmets,Groups,Job Type,Marital Status,Age,Business Unit,Hire Date,Emp.Type,Sick Days,Balance Days,Years in current role,Years since last promition,Education,Job Involvement,Job Satisfaction,Performance Rating,Relationship Satisfaction,WorkLife Balance,Last Name,Gender,Salary,Job Classification,Emp No.
Sales and Marketing,Group C,Full Time,Single,42,Seattle,00:00.0,Non Active,12,11,3 Years,1 Year,Masters,Very High,Low,Good,High,Bad,Burch,Male,108679,White Collar,2387
Tech Support,Group B,Part Time,Single,58,Houston,00:00.0,Active,8,20,3 Years,1 Year,Masters,Low,Low,Low,High,Good,Winters,Male,104302,White Collar,2437
Customer Relations,Group C,Full Time,Single,29,Los Angeles,00:00.0,Non Active,6,19,3 Years,1 Year,College,High,Very High,Outstanding,Medium,Better,Nash,Male,98139,White Collar,2440
Asset Management,Group B,Full Time,Divorced,34,Seattle,00:00.0,Active,12,18,3 Years,1 Year,Doctor,High,Very High,Outstanding,Medium,Bad,Griffith,Male,104747,White Collar,2454
Human Resources,Group D,Part Time,Married,43,New York City,00:00.0,Non Active,2,6,3 Years,1 Year,Bachelor,Low,Medium,Excellent,Low,Bad,Maynard,Male,96098,White Collar,2478
Human Resources,Group A,Part Time,Divorced,29,New York City,00:00.0,Active,4,8,3 Years,1 Year,Doctor,High,Low,Outstanding,Very High,Good,Davenport,Male,110733,White Collar,2510
Quality Assurance,Group D,Full Time,Single,48,Houston,00:00.0,Active,11,16,3 Years,1 Year,Bachelor,Low,Low,Good,Low,Better,Cox,Female,114754,White Collar,2530
Sales and Marketing,Group A,Part Time,Divorced,40,Houston,00:00.0,Non Active,9,10,3 Years,1 Year,Doctor,Medium,High,Outstanding,High,Better,Riddle,Male,102054,White Collar,2533
Customer Relations,Group C,Full Time,Single,59,Los Angeles,00:00.0,Non Active,4,9,3 Years,1 Year,Doctor,High,Very High,Good,Very High,Good,Hobbs,Female,97159,White Collar,2550
Quality Assurance,Group D,Part Time,Divorced,32,New York City,00:00.0,Non Active,5,19,3 Years,1 Year,College,High,Medium,Low,Low,Better,Massey,Female,94771,White Collar,2578
Quality Assurance,Group A,Part Time,Married,53,Seattle,00:00.0,Non Active,7,6,3 Years,1 Year,College,Low,Medium,Good,Very High,Bad,Cobb,Male,76227,White Collar,2606
Finances,Group D,Part Time,Married,48,Seattle,00:00.0,Active,6,13,3 Years,1 Year,College,Medium,Medium,Outstanding,Very High,Bad,Mcdonald,Male,88675,White Collar,2688
Public Relations,Group C,Full Time,Single,25,Seattle,00:00.0,Non Active,3,14,3 Years,1 Year,College,High,Very High,Low,Medium,Better,Bryan,Female,109810,White Collar,2711
Customer Service,Group B,Full Time,Divorced,54,Los Angeles,00:00.0,Non Active,3,20,3 Years,1 Year,Doctor,Medium,High,Outstanding,High,Best,Gross,Male,98574,White Collar,2771
Media Relations,Group A,Part Time,Divorced,26,New York City,00:00.0,Active,1,13,3 Years,1 Year,Masters,Very High,High,Excellent,Medium,Better,Donovan,Male,98881,White Collar,2780
Customer Relations,Group D,Full Time,Married,55,Seattle,00:00.0,Active,7,19,3 Years,1 Year,Bachelor,Very High,High,Low,Low,Better,Hebert,Female,97301,White Collar,2807
Advertising,Group C,Full Time,Single,47,Houston,00:00.0,Non Active,11,18,3 Years,1 Year,College,Medium,Very High,Excellent,Very High,Best,Best,Female,76192,White Collar,2824
Media Relations,Group B,Full Time,Divorced,30,Seattle,00:00.0,Non Active,11,18,3 Years,1 Year,Bachelor,Very High,Very High,Low,Medium,Good,Oliver,Female,74365,White Collar,2843
Quality Assurance,Group A,Full Time,Married,34,Los Angeles,00:00.0,Active,6,16,3 Years,1 Year,Doctor,Low,High,Excellent,Medium,Best,Sandoval,Female,84968,White Collar,2857
Accounting,Group B,Part Time,Divorced,52,New York City,00:00.0,Non Active,4,10,3 Years,1 Year,College,Medium,Very High,Outstanding,Low,Bad,Vang,Female,71962,White Collar,2862
Payroll,Group C,Part Time,Married,61,Seattle,00:00.0,Non Active,5,8,3 Years,1 Year,College,Very High,Low,Low,Very High,Bad,Ballard,Male,103035,White Collar,2893
Asset Management,Group A,Full Time,Married,26,New York City,00:00.0,Non Active,11,8,3 Years,1 Year,Masters,Medium,High,Excellent,Very High,Good,Tyson,Female,113507,White Collar,2934
Finances,Group A,Part Time,Single,28,Houston,00:00.0,Active,9,16,3 Years,1 Year,Bachelor,Very High,High,Good,Medium,Good,Terrell,Male,92105,White Collar,2959
Asset Management,Group B,Full Time,Married,56,New York City,00:00.0,Active,11,18,3 Years,1 Year,College,Very High,High,Excellent,High,Bad,Salazar,Female,102137,White Collar,2989
Human Resources,Group D,Part Time,Single,35,Houston,00:00.0,Non Active,9,5,3 Years,1 Year,Masters,Medium,Medium,Outstanding,Low,Bad,Travis,Male,101465,White Collar,3009
Payroll,Group A,Full Time,Married,63,Los Angeles,00:00.0,Active,9,7,3 Years,1 Year,Bachelor,Very High,High,Excellent,Medium,Bad,Berger,Female,98723,White Collar,3029
Customer Relations,Group C,Full Time,Married,30,Houston,00:00.0,Non Active,5,5,3 Years,1 Year,Doctor,High,High,Low,Very High,Better,Anderson,Female,118179,White Collar,3034
Customer Service,Group A,Full Time,Single,53,New York City,00:00.0,Active,12,13,3 Years,1 Year,College,Very High,Low,Good,High,Bad,Brooks,Male,119274,White Collar,3053
Sales and Marketing,Group A,Full Time,Single,53,New York City,00:00.0,Active,6,18,3 Years,1 Year,College,Medium,Very High,Good,Medium,Good,Terry,Male,70102,White Collar,3059
Human Resources,Group D,Full Time,Divorced,61,New York City,00:00.0,Active,7,9,3 Years,1 Year,Bachelor,Medium,Very High,Low,High,Bad,Payne,Male,118502,White Collar,3072
Research and Development,Group D,Part Time,Divorced,49,New York City,00:00.0,Active,5,6,3 Years,1 Year,Masters,Low,Medium,Excellent,Very High,Better,Peck,Male,103650,White Collar,3088
Accounting,Group D,Part Time,Single,55,Seattle,00:00.0,Active,10,20,3 Years,1 Year,College,Very High,Low,Outstanding,Very High,Good,Mccullough,Female,70044,White Collar,3091
Advertising,Group B,Part Time,Married,24,Houston,00:00.0,Active,12,12,3 Years,1 Year,Masters,Medium,Low,Low,Low,Bad,Miller,Female,77282,White Collar,3158
Accounting,Group B,Full Time,Divorced,63,New York City,00:00.0,Active,5,16,3 Years,1 Year,Bachelor,Very High,Low,Outstanding,Medium,Bad,Odom,Female,92505,White Collar,3275
Customer Service,Group B,Part Time,Married,59,Houston,00:00.0,Non Active,10,20,3 Years,1 Year,Bachelor,Medium,Medium,Good,Low,Bad,Perkins,Female,117988,White Collar,3282
Payroll,Group A,Full Time,Married,43,Houston,00:00.0,Active,3,6,3 Years,1 Year,Bachelor,Very High,Low,Low,Very High,Best,Ortega,Female,100344,White Collar,3313
Customer Relations,Group D,Part Time,Married,40,Los Angeles,00:00.0,Active,4,19,3 Years,1 Year,Doctor,High,Medium,Excellent,High,Best,Potts,Female,108669,White Collar,3340
Customer Relations,Group A,Full Time,Single,65,New York City,00:00.0,Non Active,1,17,3 Years,1 Year,Masters,Low,Medium,Excellent,Low,Better,Kirkland,Female,87975,White Collar,3348
Customer Service,Group B,Full Time,Married,37,New York City,00:00.0,Active,4,9,3 Years,1 Year,Bachelor,Low,High,Low,Low,Best,Cleveland,Male,74692,White Collar,3356
Quality Assurance,Group A,Full Time,Married,50,Houston,00:00.0,Active,1,19,3 Years,1 Year,College,Very High,High,Good,Very High,Better,Summers,Female,103533,White Collar,3403
Asset Management,Group C,Part Time,Divorced,36,New York City,00:00.0,Active,2,7,3 Years,1 Year,Doctor,Low,Medium,Good,Low,Better,Herrera,Male,86547,White Collar,3442
Media Relations,Group C,Full Time,Married,41,Los Angeles,00:00.0,Non Active,4,13,3 Years,1 Year,Masters,High,Low,Outstanding,Low,Bad,Mays,Male,119691,White Collar,3473
Accounting,Group C,Part Time,Married,58,Seattle,00:00.0,Active,2,12,3 Years,1 Year,Doctor,Medium,High,Low,Very High,Better,Lowe,Female,78514,White Collar,3519
Quality Assurance,Group D,Full Time,Married,45,Los Angeles,00:00.0,Non Active,10,10,3 Years,1 Year,Masters,Medium,Medium,Low,Very High,Best,Branch,Male,95864,White Collar,3520
Finances,Group B,Part Time,Married,64,Los Angeles,00:00.0,Active,12,9,2 Years,1 Year,College,Low,Low,Good,High,Bad,Casey,Male,84552,White Collar,7
Customer Relations,Group C,Part Time,Married,45,Houston,00:00.0,Active,7,6,2 Years,1 Year,College,Medium,High,Outstanding,Low,Best,Richard,Female,115358,White Collar,50
Research and Development,Group C,Part Time,Divorced,59,Los Angeles,00:00.0,Active,10,15,2 Years,1 Year,Doctor,Low,High,Outstanding,High,Good,Frye,Female,118450,White Collar,76
Human Resources,Group B,Full Time,Divorced,33,New York City,00:00.0,Non Active,6,20,2 Years,1 Year,Doctor,Very High,Low,Low,Medium,Best,Hood,Male,114605,White Collar,132
Legal Department,Group B,Full Time,Divorced,27,Los Angeles,00:00.0,Active,9,6,2 Years,1 Year,College,Medium,High,Excellent,Very High,Bad,Waters,Female,83617,White Collar,164
Payroll,Group D,Full Time,Divorced,36,Houston,00:00.0,Active,5,9,2 Years,1 Year,Doctor,High,Medium,Outstanding,Very High,Best,Santos,Female,108589,White Collar,169
Customer Service,Group D,Part Time,Single,55,Houston,00:00.0,Non Active,9,20,2 Years,1 Year,College,Low,Very High,Low,Medium,Bad,Whitney,Male,89750,White Collar,187
Research and Development,Group B,Part Time,Married,52,Seattle,00:00.0,Non Active,6,6,2 Years,1 Year,College,Very High,Low,Outstanding,Low,Bad,Austin,Male,107084,White Collar,202
Customer Service,Group B,Full Time,Single,38,Houston,00:00.0,Non Active,11,13,2 Years,1 Year,Doctor,Very High,Low,Good,Very High,Better,Bush,Male,107538,White Collar,263
Advertising,Group D,Part Time,Married,36,Los Angeles,00:00.0,Non Active,7,11,2 Years,1 Year,Masters,Medium,Medium,Excellent,Low,Better,Howard,Female,93215,White Collar,432
Sales and Marketing,Group D,Part Time,Divorced,26,Houston,00:00.0,Non Active,11,17,2 Years,1 Year,Doctor,High,High,Excellent,Very High,Good,Glover,Female,76580,White Collar,434
Advertising,Group B,Full Time,Divorced,33,Seattle,00:00.0,Active,8,18,2 Years,1 Year,College,High,Medium,Excellent,Low,Good,Finch,Female,111347,White Collar,447
Customer Relations,Group B,Full Time,Single,63,Seattle,00:00.0,Active,6,6,2 Years,1 Year,College,Very High,High,Good,High,Better,Hawkins,Female,115202,White Collar,505
Quality Assurance,Group D,Full Time,Married,59,New York City,00:00.0,Active,12,5,2 Years,1 Year,Doctor,Medium,Very High,Excellent,Medium,Best,Simpson,Female,86804,White Collar,541
Asset Management,Group D,Part Time,Divorced,48,Los Angeles,00:00.0,Non Active,3,6,2 Years,1 Year,Bachelor,Medium,Low,Low,Very High,Better,Richard,Male,93257,White Collar,564
Customer Service,Group B,Full Time,Single,35,New York City,00:00.0,Non Active,11,8,2 Years,1 Year,Doctor,Very High,Very High,Outstanding,Very High,Best,Herrera,Male,118489,White Collar,599
Accounting,Group B,Full Time,Married,48,Houston,00:00.0,Non Active,7,9,2 Years,1 Year,Doctor,Medium,Low,Outstanding,High,Best,Copeland,Female,115022,White Collar,616
Customer Relations,Group B,Full Time,Divorced,51,Los Angeles,00:00.0,Active,10,16,2 Years,1 Year,Bachelor,High,Very High,Good,High,Best,Bond,Female,106658,White Collar,712
Advertising,Group C,Full Time,Single,48,Seattle,00:00.0,Non Active,3,14,2 Years,1 Year,Masters,High,Very High,Low,High,Better,Garrison,Female,111441,White Collar,713
Finances,Group C,Full Time,Married,55,Houston,00:00.0,Active,10,19,2 Years,1 Year,Masters,Very High,Medium,Excellent,High,Good,Benson,Female,75392,White Collar,731
Finances,Group C,Full Time,Single,29,Houston,00:00.0,Active,4,5,2 Years,1 Year,College,Low,Very High,Excellent,Low,Good,Baxter,Female,111638,White Collar,834
Legal Department,Group A,Full Time,Single,35,Seattle,00:00.0,Non Active,1,9,2 Years,1 Year,College,High,Very High,Low,Low,Good,Kane,Female,88631,White Collar,836
Finances,Group C,Part Time,Married,41,Seattle,00:00.0,Active,12,13,2 Years,1 Year,Doctor,Low,High,Good,Low,Good,Gomez,Male,113623,White Collar,864
Finances,Group A,Part Time,Single,38,New York City,00:00.0,Active,7,9,2 Years,1 Year,Masters,Medium,High,Excellent,Medium,Best,Gross,Male,70280,White Collar,982
Quality Assurance,Group A,Part Time,Divorced,56,Houston,00:00.0,Active,12,7,2 Years,1 Year,College,Medium,Very High,Outstanding,Low,Good,Rodriguez,Female,118802,White Collar,1008
Research and Development,Group C,Full Time,Single,58,Seattle,00:00.0,Non Active,4,20,2 Years,1 Year,Bachelor,Very High,Medium,Outstanding,Low,Bad,Browning,Male,108506,White Collar,1066
Public Relations,Group D,Part Time,Divorced,43,Seattle,00:00.0,Non Active,7,12,2 Years,1 Year,Masters,Very High,High,Excellent,Very High,Better,Jacobs,Male,70100,White Collar,1075
Advertising,Group D,Part Time,Divorced,24,Los Angeles,00:00.0,Active,1,6,2 Years,1 Year,Masters,Very High,High,Outstanding,Very High,Good,Solomon,Male,76812,White Collar,1076
Research and Development,Group B,Full Time,Single,37,New York City,00:00.0,Active,5,8,2 Years,1 Year,Bachelor,Very High,High,Excellent,Very High,Good,Chaney,Female,99416,White Collar,1121
Public Relations,Group B,Part Time,Divorced,64,Houston,00:00.0,Active,6,18,2 Years,1 Year,Doctor,Medium,Medium,Low,Low,Good,Garza,Female,89753,White Collar,1146
Media Relations,Group A,Full Time,Divorced,49,New York City,00:00.0,Active,2,15,2 Years,1 Year,Masters,Medium,High,Outstanding,Very High,Good,Case,Male,113799,White Collar,1277
Advertising,Group D,Full Time,Single,64,Houston,00:00.0,Non Active,3,17,2 Years,1 Year,Masters,Low,High,Excellent,Very High,Good,Ray,Male,111703,White Collar,1333
Quality Assurance,Group D,Part Time,Single,30,New York City,00:00.0,Non Active,2,15,2 Years,1 Year,Doctor,Medium,High,Outstanding,Very High,Bad,Kirkland,Male,85828,White Collar,1335
Payroll,Group B,Part Time,Single,62,Seattle,00:00.0,Non Active,11,5,2 Years,1 Year,Doctor,High,Low,Good,High,Best,Fuentes,Male,107107,White Collar,1365
Human Resources,Group D,Part Time,Single,36,Seattle,00:00.0,Non Active,6,19,2 Years,1 Year,College,High,High,Excellent,Low,Better,Graham,Male,73685,White Collar,1383
Sales and Marketing,Group D,Part Time,Single,35,Los Angeles,00:00.0,Active,6,12,2 Years,1 Year,Bachelor,Medium,Very High,Low,High,Bad,Watson,Female,88757,White Collar,1422
Payroll,Group C,Part Time,Single,52,Seattle,00:00.0,Active,12,11,2 Years,1 Year,College,Medium,Low,Outstanding,Low,Good,Ratliff,Female,116879,White Collar,1435
Payroll,Group B,Full Time,Married,54,New York City,00:00.0,Non Active,4,16,2 Years,1 Year,Doctor,Low,Very High,Excellent,Low,Better,Sheppard,Male,90661,White Collar,1443
Quality Assurance,Group C,Part Time,Married,42,Seattle,00:00.0,Active,8,8,2 Years,1 Year,College,Very High,Very High,Excellent,Low,Bad,Buchanan,Female,87733,White Collar,1497
Customer Relations,Group A,Full Time,Single,61,Houston,00:00.0,Non Active,4,13,2 Years,1 Year,College,Very High,Medium,Outstanding,Very High,Best,Wade,Female,107931,White Collar,1548
Customer Service,Group A,Full Time,Divorced,47,New York City,00:00.0,Non Active,9,7,2 Years,1 Year,Bachelor,Very High,High,Outstanding,Low,Good,Walsh,Female,85622,White Collar,1581
Media Relations,Group C,Part Time,Married,39,Seattle,00:00.0,Non Active,10,7,2 Years,1 Year,Masters,Very High,Medium,Low,Medium,Good,Nunez,Male,70108,White Collar,1604
Advertising,Group D,Part Time,Married,65,Seattle,00:00.0,Non Active,4,6,2 Years,1 Year,Masters,Very High,Very High,Excellent,Low,Bad,Conner,Female,108554,White Collar,1605
Research and Development,Group A,Full Time,Married,55,Seattle,00:00.0,Non Active,4,14,2 Years,1 Year,Masters,Low,Low,Outstanding,Medium,Better,Wolf,Female,75395,White Collar,1659
Quality Assurance,Group D,Full Time,Divorced,49,Seattle,00:00.0,Active,12,8,2 Years,1 Year,Doctor,Low,Low,Outstanding,Very High,Good,Copeland,Female,111962,White Collar,1665
Human Resources,Group B,Part Time,Single,59,Houston,00:00.0,Active,5,8,2 Years,1 Year,Doctor,Medium,High,Excellent,Medium,Better,Morrison,Female,103472,White Collar,1784
Quality Assurance,Group B,Full Time,Single,29,Los Angeles,00:00.0,Non Active,1,7,2 Years,1 Year,Bachelor,Medium,Very High,Good,Very High,Better,Gill,Female,82463,White Collar,1786
Finances,Group D,Part Time,Divorced,30,Seattle,00:00.0,Active,10,18,2 Years,1 Year,Doctor,Medium,Very High,Good,High,Best,Mcclure,Male,118404,White Collar,1792
Media Relations,Group B,Part Time,Married,24,Seattle,00:00.0,Non Active,7,5,2 Years,1 Year,Masters,High,High,Low,High,Better,Adams,Male,105045,White Collar,1796
Media Relations,Group D,Part Time,Divorced,34,Los Angeles,00:00.0,Active,8,11,2 Years,1 Year,College,Very High,Medium,Good,Low,Good,Livingston,Male,111256,White Collar,1812
Sales and Marketing,Group B,Part Time,Divorced,38,Seattle,00:00.0,Active,5,15,2 Years,1 Year,Doctor,Low,Low,Outstanding,Low,Bad,Good,Male,111772,White Collar,1825
Quality Assurance,Group B,Part Time,Single,27,New York City,00:00.0,Non Active,1,7,2 Years,1 Year,Doctor,Low,High,Low,High,Better,Gill,Female,99064,White Collar,1878
Research and Development,Group A,Full Time,Single,29,Seattle,00:00.0,Non Active,5,15,2 Years,1 Year,Doctor,Medium,Medium,Outstanding,Low,Best,Talley,Male,99602,White Collar,1883
Payroll,Group A,Full Time,Married,24,Seattle,00:00.0,Non Active,4,19,2 Years,1 Year,Bachelor,High,Very High,Good,Very High,Bad,Cantu,Male,114580,White Collar,1895
Asset Management,Group D,Part Time,Married,29,Houston,00:00.0,Active,6,7,2 Years,1 Year,Bachelor,High,Medium,Good,High,Good,Matthews,Female,74348,White Collar,1913
Legal Department,Group C,Full Time,Married,37,Houston,00:00.0,Active,1,14,2 Years,1 Year,College,Low,Medium,Outstanding,Low,Best,Mccullough,Female,115816,White Collar,1918
Human Resources,Group D,Part Time,Married,63,Houston,00:00.0,Active,1,19,2 Years,1 Year,College,Very High,Medium,Good,High,Better,Tate,Male,87980,White Collar,1926
Tech Support,Group D,Full Time,Single,37,Los Angeles,00:00.0,Active,7,6,2 Years,1 Year,Masters,Medium,Very High,Outstanding,Very High,Best,Larson,Female,86019,White Collar,1946
Accounting,Group D,Part Time,Divorced,24,New York City,00:00.0,Non Active,1,14,2 Years,1 Year,Bachelor,High,High,Low,Low,Good,Hammond,Male,100743,White Collar,1953
Customer Service,Group D,Full Time,Single,36,Houston,00:00.0,Active,1,8,2 Years,1 Year,Bachelor,High,Medium,Low,Very High,Bad,Harrison,Female,119769,White Collar,1960
Human Resources,Group C,Part Time,Single,40,Los Angeles,00:00.0,Non Active,8,18,2 Years,1 Year,College,High,Low,Outstanding,Low,Best,Sargent,Male,116789,White Collar,1980
Research and Development,Group B,Part Time,Married,36,Houston,00:00.0,Non Active,1,5,2 Years,1 Year,Bachelor,Low,Very High,Low,High,Better,Fleming,Female,93049,White Collar,1985
Quality Assurance,Group D,Full Time,Divorced,36,Houston,00:00.0,Active,6,16,2 Years,1 Year,College,Very High,Low,Low,High,Best,Fitzgerald,Female,110087,White Collar,2008
Legal Department,Group C,Full Time,Single,59,Los Angeles,00:00.0,Active,5,18,2 Years,1 Year,College,Low,Very High,Good,Medium,Bad,Cherry,Female,100584,White Collar,2029
Public Relations,Group D,Full Time,Married,65,Houston,00:00.0,Active,8,19,2 Years,1 Year,Doctor,Very High,High,Good,Very High,Good,Valenzuela,Female,81799,White Collar,2054
Research and Development,Group A,Part Time,Married,54,Seattle,00:00.0,Non Active,3,15,2 Years,1 Year,Masters,High,Medium,Good,Very High,Best,Buckner,Male,116990,White Collar,2076
Human Resources,Group A,Part Time,Divorced,55,Seattle,00:00.0,Non Active,9,16,2 Years,1 Year,Masters,Very High,Very High,Excellent,Very High,Better,Miles,Female,98012,White Collar,2171
Accounting,Group B,Full Time,Married,46,Los Angeles,00:00.0,Active,5,20,2 Years,1 Year,Bachelor,Medium,Low,Low,Medium,Bad,Silva,Male,108671,White Collar,2178
